Flight_number,Date,BoosterVersion,payloadMass,Orbit,LaunchSite,Longitude,Latitude,Serial,ReusedCount,Block,Outcome,Flights,GridFins,Legs,Reused,LandingPad,Success
6,2010-06-04,Falcon 9,,LEO,CCSFS SLC 40,-80.577366,28.5618571,B0003,0,1.0,None None,1,False,False,False,,True
8,2012-05-22,Falcon 9,525.0,LEO,CCSFS SLC 40,-80.577366,28.5618571,B0005,0,1.0,None None,1,False,False,False,,True
10,2013-03-01,Falcon 9,677.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B0007,0,1.0,None None,1,False,False,False,,True
11,2013-09-29,Falcon 9,500.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1003,0,1.0,False Ocean,1,False,False,False,,True
12,2013-12-03,Falcon 9,3170.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1004,0,1.0,None None,1,False,False,False,,True
13,2014-01-06,Falcon 9,3325.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1005,0,1.0,None None,1,False,False,False,,True
14,2014-04-18,Falcon 9,2296.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1006,0,1.0,True Ocean,1,False,True,False,,True
15,2014-07-14,Falcon 9,1316.0,LEO,CCSFS SLC 40,-80.577366,28.5618571,B1007,0,1.0,True Ocean,1,False,True,False,,True
16,2014-08-05,Falcon 9,4535.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1008,0,1.0,None None,1,False,False,False,,True
17,2014-09-07,Falcon 9,4428.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1011,0,1.0,None None,1,False,False,False,,True
18,2014-09-21,Falcon 9,2216.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1010,0,1.0,False Ocean,1,False,False,False,,True
19,2015-01-10,Falcon 9,2395.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1012,0,1.0,False ASDS,1,True,True,False,5e9e3032383ecb761634e7cb,True
20,2015-02-11,Falcon 9,570.0,ES-L1,CCSFS SLC 40,-80.577366,28.5618571,B1013,0,1.0,True Ocean,1,True,True,False,,True
22,2015-04-14,Falcon 9,1898.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1015,0,1.0,False ASDS,1,True,True,False,5e9e3032383ecb761634e7cb,True
23,2015-04-27,Falcon 9,4707.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1016,0,1.0,None None,1,False,False,False,,True
24,2015-06-28,Falcon 9,2477.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1018,0,1.0,None ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,False
25,2015-12-22,Falcon 9,2034.0,LEO,CCSFS SLC 40,-80.577366,28.5618571,B1019,0,1.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
26,2016-01-17,Falcon 9,553.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1017,0,1.0,False ASDS,1,True,True,False,5e9e3033383ecbb9e534e7cc,True
27,2016-03-04,Falcon 9,5271.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1020,0,1.0,False ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
28,2016-04-08,Falcon 9,3136.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1021,1,2.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
29,2016-05-06,Falcon 9,4696.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1022,0,2.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
30,2016-05-27,Falcon 9,3100.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1023,1,2.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
32,2016-07-18,Falcon 9,2257.0,ISS,CCSFS SLC 40,-80.577366,28.5618571,B1025,1,2.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
33,2016-08-14,Falcon 9,4600.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1026,0,2.0,True ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,True
34,2016-09-01,Falcon 9,5500.0,GTO,CCSFS SLC 40,-80.577366,28.5618571,B1028,0,3.0,None ASDS,1,True,True,False,5e9e3032383ecb6bb234e7ca,False
35,2017-01-14,Falcon 9,9600.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1029,1,3.0,True ASDS,1,True,True,False,5e9e3033383ecbb9e534e7cc,True
36,2017-02-19,Falcon 9,2490.0,ISS,KSC LC 39A,-80.6039558,28.6080585,B1031,1,3.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
37,2017-03-16,Falcon 9,5600.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1030,0,3.0,None None,1,False,False,False,,True
38,2017-03-30,Falcon 9,5300.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1021,1,2.0,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,True
39,2017-05-01,Falcon 9,,LEO,KSC LC 39A,-80.6039558,28.6080585,B1032,1,3.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
40,2017-05-15,Falcon 9,6070.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1034,0,3.0,None None,1,False,False,False,,True
41,2017-06-03,Falcon 9,2708.0,ISS,KSC LC 39A,-80.6039558,28.6080585,B1035,1,3.0,True RTLS,1,True,True,False,5e9e3032383ecb267a34e7c7,True
42,2017-06-23,Falcon 9,3669.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1029,1,3.0,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,True
43,2017-06-25,Falcon 9,9600.0,PO,VAFB SLC 4E,-120.610829,34.632093,B1036,1,3.0,True ASDS,1,True,True,False,5e9e3033383ecbb9e534e7cc,True
44,2017-07-05,Falcon 9,6761.0,GTO,KSC LC 39A,-80.6039558,28.6080585,B1037,0,3.0,None None,1,False,False,False,,True
